strategy,symbol,p_min_gap_atr,p_rr_target,p_stop_atr_mult,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
gap_fill_wide,ZN,0.5,1.0,1.0,15,11,0.5455,0.9481,1.4593,44.24,0.00,4,0.5000,0.5833,0.5981,27.34,0.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill_wide,ZN,0.5,1.25,1.0,13,9,0.4444,0.9365,1.1664,43.65,0.00,4,0.5000,0.5833,0.5981,27.34,0.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill_wide,ZN,0.5,1.5,1.0,12,9,0.4444,0.9365,1.1664,43.65,0.00,3,0.3333,0.3333,0.2500,15.62,0.00,0.500,15.62,0.3333,7.81,0.3333,0.00,0.3333,-15.62,0.3333
gap_fill_wide,ZN,0.5,1.0,1.5,13,10,0.7000,1.6019,2.4956,92.86,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,0.5,1.25,1.5,12,9,0.6667,1.6688,2.3381,97.97,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,0.5,1.5,1.5,12,9,0.6667,1.6688,2.3381,97.97,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,0.5,1.0,2.0,13,10,0.8000,1.5941,3.2333,118.53,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,0.5,1.25,2.0,12,9,0.7778,1.6601,3.0390,126.49,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,0.5,1.5,2.0,10,8,0.7500,1.6927,2.7375,132.53,0.00,2,0.5000,0.3750,0.2727,35.71,0.00,1.143,35.71,0.5000,27.90,0.5000,20.09,0.5000,4.46,0.5000
gap_fill_wide,ZN,0.75,1.0,1.0,15,11,0.5455,0.9481,1.4593,44.24,0.00,4,0.5000,0.5833,0.5981,27.34,0.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill_wide,ZN,0.75,1.25,1.0,13,9,0.4444,0.9365,1.1664,43.65,0.00,4,0.5000,0.5833,0.5981,27.34,0.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill_wide,ZN,0.75,1.5,1.0,12,9,0.4444,0.9365,1.1664,43.65,0.00,3,0.3333,0.3333,0.2500,15.62,0.00,0.500,15.62,0.3333,7.81,0.3333,0.00,0.3333,-15.62,0.3333
gap_fill_wide,ZN,0.75,1.0,1.5,13,10,0.7000,1.6019,2.4956,92.86,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,0.75,1.25,1.5,12,9,0.6667,1.6688,2.3381,97.97,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,0.75,1.5,1.5,12,9,0.6667,1.6688,2.3381,97.97,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,0.75,1.0,2.0,13,10,0.8000,1.5941,3.2333,118.53,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,0.75,1.25,2.0,12,9,0.7778,1.6601,3.0390,126.49,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,0.75,1.5,2.0,10,8,0.7500,1.6927,2.7375,132.53,0.00,2,0.5000,0.3750,0.2727,35.71,0.00,1.143,35.71,0.5000,27.90,0.5000,20.09,0.5000,4.46,0.5000
gap_fill_wide,ZN,1.0,1.0,1.0,15,11,0.5455,0.9481,1.4593,44.24,0.00,4,0.5000,0.5833,0.5981,27.34,0.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill_wide,ZN,1.0,1.25,1.0,13,9,0.4444,0.9365,1.1664,43.65,0.00,4,0.5000,0.5833,0.5981,27.34,0.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill_wide,ZN,1.0,1.5,1.0,12,9,0.4444,0.9365,1.1664,43.65,0.00,3,0.3333,0.3333,0.2500,15.62,0.00,0.500,15.62,0.3333,7.81,0.3333,0.00,0.3333,-15.62,0.3333
gap_fill_wide,ZN,1.0,1.0,1.5,13,10,0.7000,1.6019,2.4956,92.86,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,1.0,1.25,1.5,12,9,0.6667,1.6688,2.3381,97.97,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,1.0,1.5,1.5,12,9,0.6667,1.6688,2.3381,97.97,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,1.0,1.0,2.0,13,10,0.8000,1.5941,3.2333,118.53,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,1.0,1.25,2.0,12,9,0.7778,1.6601,3.0390,126.49,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,1.0,1.5,2.0,10,8,0.7500,1.6927,2.7375,132.53,0.00,2,0.5000,0.3750,0.2727,35.71,0.00,1.143,35.71,0.5000,27.90,0.5000,20.09,0.5000,4.46,0.5000
gap_fill_wide,ZN,1.25,1.0,1.0,15,11,0.5455,0.9481,1.4593,44.24,0.00,4,0.5000,0.5833,0.5981,27.34,0.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill_wide,ZN,1.25,1.25,1.0,13,9,0.4444,0.9365,1.1664,43.65,0.00,4,0.5000,0.5833,0.5981,27.34,0.00,0.875,27.34,0.5000,19.53,0.5000,11.72,0.5000,-3.91,0.5000
gap_fill_wide,ZN,1.25,1.5,1.0,12,9,0.4444,0.9365,1.1664,43.65,0.00,3,0.3333,0.3333,0.2500,15.62,0.00,0.500,15.62,0.3333,7.81,0.3333,0.00,0.3333,-15.62,0.3333
gap_fill_wide,ZN,1.25,1.0,1.5,13,10,0.7000,1.6019,2.4956,92.86,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,1.25,1.25,1.5,12,9,0.6667,1.6688,2.3381,97.97,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,1.25,1.5,1.5,12,9,0.6667,1.6688,2.3381,97.97,0.00,3,0.3333,0.1111,0.1000,10.60,0.00,0.339,10.60,0.3333,2.79,0.3333,-5.02,0.3333,-20.65,0.3333
gap_fill_wide,ZN,1.25,1.0,2.0,13,10,0.8000,1.5941,3.2333,118.53,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,1.25,1.25,2.0,12,9,0.7778,1.6601,3.0390,126.49,0.00,3,0.6667,0.7304,0.8397,60.27,0.00,1.929,60.27,0.6667,52.46,0.6667,44.64,0.6667,29.02,0.6667
gap_fill_wide,ZN,1.25,1.5,2.0,10,8,0.7500,1.6927,2.7375,132.53,0.00,2,0.5000,0.3750,0.2727,35.71,0.00,1.143,35.71,0.5000,27.90,0.5000,20.09,0.5000,4.46,0.5000
gap_fill_wide,ZT,0.5,1.0,1.0,15,12,0.5833,0.7500,1.5638,35.16,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.5,1.25,1.0,12,9,0.5556,0.8704,1.4231,40.80,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.5,1.5,1.0,11,8,0.5000,0.8125,1.1769,38.09,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.5,1.0,1.5,15,12,0.5833,0.7500,1.5638,34.25,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.5,1.25,1.5,12,9,0.5556,0.8704,1.4231,39.59,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.5,1.5,1.5,11,8,0.5000,0.8125,1.1769,36.73,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.5,1.0,2.0,15,12,0.5833,0.7229,1.5426,31.34,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.5,1.25,2.0,11,8,0.6250,1.0636,1.7026,49.11,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.5,1.5,2.0,10,7,0.5714,1.0250,1.4238,47.19,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.0,1.0,15,12,0.5833,0.7500,1.5638,35.16,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.25,1.0,12,9,0.5556,0.8704,1.4231,40.80,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.5,1.0,11,8,0.5000,0.8125,1.1769,38.09,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.0,1.5,15,12,0.5833,0.7500,1.5638,34.25,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.25,1.5,12,9,0.5556,0.8704,1.4231,39.59,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.5,1.5,11,8,0.5000,0.8125,1.1769,36.73,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.0,2.0,15,12,0.5833,0.7229,1.5426,31.34,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.25,2.0,11,8,0.6250,1.0636,1.7026,49.11,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,0.75,1.5,2.0,10,7,0.5714,1.0250,1.4238,47.19,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.0,1.0,15,12,0.5833,0.7500,1.5638,35.16,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.25,1.0,12,9,0.5556,0.8704,1.4231,40.80,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.5,1.0,11,8,0.5000,0.8125,1.1769,38.09,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.0,1.5,15,12,0.5833,0.7500,1.5638,34.25,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.25,1.5,12,9,0.5556,0.8704,1.4231,39.59,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.5,1.5,11,8,0.5000,0.8125,1.1769,36.73,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.0,2.0,15,12,0.5833,0.7229,1.5426,31.34,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.25,2.0,11,8,0.6250,1.0636,1.7026,49.11,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.0,1.5,2.0,10,7,0.5714,1.0250,1.4238,47.19,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.0,1.0,15,12,0.5833,0.7500,1.5638,35.16,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.25,1.0,12,9,0.5556,0.8704,1.4231,40.80,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.5,1.0,11,8,0.5000,0.8125,1.1769,38.09,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.0,1.5,15,12,0.5833,0.7500,1.5638,34.25,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.25,1.5,12,9,0.5556,0.8704,1.4231,39.59,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.5,1.5,11,8,0.5000,0.8125,1.1769,36.73,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
